"id","mes_atual","mes_anterior","unidade","investimento_total","investimento_mes_anterior","variacao_investimento","cliques_total","cliques_mes_anterior","variacao_cliques","roi","taxa_conversao_lead","taxa_conversao_cadastro"
32,"2023-08-01","2023-07-01","729097561227405","4737.06","6002.61","-21.08",1075,1324,"0.00","4.69","382.76","100.00"
208,"2023-09-01","2023-08-01","729097561227405","4096.43","4737.06","-13.52",1344,1075,"0.00","2.76","297.37","100.00"
5,"2023-10-01","2023-09-01","729097561227405","2027.02","4096.43","-50.52",570,1344,"0.00","3.50","443.75","100.00"
160,"2023-11-01","2023-10-01","729097561227405","6552.09","2027.02","223.24",2910,570,"400.00","2.12","110.32","100.00"
58,"2023-12-01","2023-11-01","729097561227405","2300.66","6552.09","-64.89",1038,2910,"0.00","7.00","243.94","100.00"
260,"2024-01-01","2023-12-01","729097561227405","700.27","2300.66","-69.56",505,1038,"0.00","13.57","250.00","100.00"
14,"2024-02-01","2024-01-01","729097561227405","559.46","700.27","-20.11",412,505,"0.00","7.51","190.91","100.00"
21,"2024-03-01","2024-02-01","729097561227405","1961.25","559.46","250.56",491,412,"0.00","7.65","833.33","100.00"
159,"2024-04-01","2024-03-01","729097561227405","0.01","1961.25","-100.00",0,491,"-100.00","0.00",NULL,NULL
239,"2024-05-01","2024-04-01","729097561227405","3617.50","0.01","36174900.00",1860,0,NULL,"6.66","1047.83","100.00"
125,"2024-06-01","2024-05-01","729097561227405","5587.30","3617.50","54.45",2209,1860,"0.00","9.58","1273.81","100.00"
78,"2024-07-01","2024-06-01","729097561227405","5978.85","5587.30","7.01",2135,2209,"0.00","7.39","866.67","100.00"
98,"2024-08-01","2024-07-01","729097561227405","6137.55","5978.85","2.65",6558,2135,"200.00","0.52","14.88","100.00"
63,"2024-09-01","2024-08-01","729097561227405","20590.74","6137.55","235.49",9067,6558,"0.00","0.00","0.12","100.00"
170,"2024-10-01","2024-09-01","729097561227405","4420.63","20590.74","-78.53",1394,9067,"0.00","0.00","0.00",NULL
89,"2024-11-01","2024-10-01","729097561227405","18790.07","4420.63","325.05",4789,1394,"200.00","0.00","0.00",NULL
34,"2024-12-01","2024-11-01","729097561227405","6370.02","18790.07","-66.10",1901,4789,"0.00","0.00","0.00",NULL
290,"2022-12-01",NULL,"766843484598389","1290.47",NULL,NULL,124,NULL,NULL,"2.32","3000.00","100.00"
193,"2023-01-01","2022-12-01","766843484598389","6550.01","1290.47","407.57",401,124,"200.00","1.01","89.19","100.00"
116,"2023-02-01","2023-01-01","766843484598389","6550.01","6550.01","0.00",4269,401,"900.00","1.45","118.75","100.00"
259,"2023-03-01","2023-02-01","766843484598389","6362.55","6550.01","-2.86",766,4269,"0.00","1.62","57.87","100.00"
134,"2023-04-01","2023-03-01","766843484598389","5901.11","6362.55","-7.25",838,766,"0.00","1.42","66.14","100.00"
188,"2023-05-01","2023-04-01","766843484598389","3259.02","5901.11","-44.77",537,838,"0.00","1.99","72.22","100.00"
33,"2023-06-01","2023-05-01","766843484598389","4249.99","3259.02","30.41",1534,537,"100.00","0.85","24.83","100.00"
117,"2023-07-01","2023-06-01","766843484598389","6196.10","4249.99","45.79",1023,1534,"0.00","1.11","22.48","100.00"
50,"2023-08-01","2023-07-01","766843484598389","6253.81","6196.10","0.93",1026,1023,"0.00","0.53","10.89","100.00"
235,"2023-09-01","2023-08-01","766843484598389","8696.74","6253.81","39.06",1484,1026,"0.00","0.29","6.39","100.00"
219,"2023-10-01","2023-09-01","766843484598389","6903.26","8696.74","-20.62",9644,1484,"500.00","1.12","55.00","100.00"
164,"2023-11-01","2023-10-01","766843484598389","6550.00","6903.26","-5.12",10348,9644,"0.00","0.15","8.00","100.00"
225,"2023-12-01","2023-11-01","766843484598389","6550.00","6550.00","0.00",5443,10348,"0.00","0.00","0.00",NULL
174,"2024-01-01","2023-12-01","766843484598389","6550.00","6550.00","0.00",791,5443,"0.00","0.00","0.00",NULL
233,"2024-02-01","2024-01-01","766843484598389","6550.00","6550.00","0.00",806,791,"0.00","0.00","0.00",NULL
171,"2024-03-01","2024-02-01","766843484598389","1176.00","6550.00","-82.05",2933,806,"200.00","0.00","0.00",NULL
289,"2024-05-01",NULL,"766843484598389","218.42",NULL,NULL,82,NULL,NULL,"0.00","0.00",NULL
226,"2024-06-01","2024-05-01","766843484598389","1854.32","218.42","748.97",628,82,"600.00","0.00","0.00",NULL
221,"2024-07-01","2024-06-01","766843484598389","5767.32","1854.32","211.02",1457,628,"100.00","0.00","0.00",NULL
210,"2024-08-01","2024-07-01","766843484598389","3945.06","5767.32","-31.60",883,1457,"0.00","0.15","4.72","100.00"
207,"2024-09-01","2024-08-01","766843484598389","2189.20","3945.06","-44.51",371,883,"0.00","2.51","76.39","100.00"
214,"2024-10-01","2024-09-01","766843484598389","1224.60","2189.20","-44.06",214,371,"0.00","0.00","0.00",NULL
95,"2024-11-01","2024-10-01","766843484598389","5093.84","1224.60","315.96",583,214,"100.00","0.26","50.00","100.00"
271,"2024-12-01","2024-11-01","766843484598389","3887.93","5093.84","-23.67",829,583,"0.00","0.00","0.00",NULL
